鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
中山區,房地(土地+建物),臺北市中山區民生西路31~60號,3.85,商,,,10403,土地2建物1車位0,七層,12,套房(1房1廳1衛),商業用,鋼筋混凝土造,0800201,28.729999999999997,1,1,1,有,有,5500000,191438,,0.0,0,含增建或未登記建物。,RPQNMLPJMHKFFCA47DA
內湖區,房地(土地+建物),臺北市內湖區金湖路65巷1~30號,17.75,住,,,10402,土地1建物1車位0,四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940825,92.31,2,2,1,有,有,21500000,232911,,0.0,0,,RPUNMLNJMHKFFCA67DA
萬華區,房地(土地+建物),臺北市萬華區成都路61~90號,5.18,商,,,10403,土地1建物1車位0,十一層,13,套房(1房1廳1衛),見使用執照,見使用執照,0911224,54.95,1,1,1,有,有,9600000,174704,,0.0,0,,RPUNMLKMMHKFFBA57DA
內湖區,房地(土地+建物),臺北市內湖區成功路四段30巷28弄1~30號,6.08,商,,,10403,土地1建物1車位0,六層,13,套房(1房1廳1衛),商業用,鋼筋混凝土造,0840211,46.77,1,1,1,有,有,9880000,211247,,0.0,0,,RPPPMLOKMHKFFCA57DA
內湖區,土地,東湖段七小段391~420地號,10.5,其他,,,10403,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,628000,59810,,0.0,0,(包含)公共設施保留地之交易。,RPTOMLTLMHKFFCA48DA
大同區,房地(土地+建物),臺北市大同區環河北路一段91~120號,26.7,住,,,10403,土地1建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0660318,87.84,3,2,2,有,無,10500000,119536,,0.0,0,含增建,RPSNMLPKMHKFFBA67DA
文山區,房地(土地+建物),臺北市文山區木柵路一段191巷1~30號,39.84,住,,,10403,土地1建物1車位0,一層,3,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,86.19,3,2,3,有,無,8700000,100940,,0.0,0,含增建或未登記建物。,RPQOMLSJMHKFFAA67DA
大安區,房地(土地+建物),臺北市大安區和平東路二段181~210號,7.07,商,,,10312,土地2建物1車位0,十二層,12,辦公商業大樓,住家用,鋼筋混凝土造,0720218,69.62,0,1,1,有,有,18300000,262856,,0.0,0,,RPVOMLSJMHKFFFA58CA
大安區,房地(土地+建物),臺北市大安區安和路二段1~30號,16.84,住,,,10403,土地1建物1車位0,二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0720514,122.25,3,2,2,有,無,35600000,291207,,0.0,0,,RPQNMLTJMHKFFFA08CA
大安區,土地,大安段三小段211~240地號,6.75,其他,,,10403,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,250000,37037,,0.0,0,,RPVNMLNKMHKFFFA08CA
北投區,房地(土地+建物)+車位,臺北市北投區三合街一段61~90號,46.08,住,,,10312,土地1建物1車位2,五層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1031119,310.5,4,2,2,有,有,59650000,235056,坡道平面,80.98,5700000,預售屋,RPUNMLKMMHKFFEA77CA
北投區,房地(土地+建物)+車位,臺北市北投區三合街一段61~90號,44.72,住,,,10312,土地1建物1車位2,九層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1031119,302.65,4,2,2,有,有,55500000,227816,坡道平面,80.98,5000000,預售屋,RPVNMLKMMHKFFEA87CA
北投區,房地(土地+建物)+車位,臺北市北投區三合街一段61~90號,42.46,住,,,10312,土地1建物1車位1,二層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1031119,261.68,4,2,2,有,有,45500000,194403,坡道平面,40.49,2500000,預售屋,權利人3人,RPXNMLKMMHKFFEA08CA
北投區,土地,八仙段一小段271~300地號,109.4,農,,,10312,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9266180,84700,,0.0,0,親友、員工或其他特殊關係間之交易。,RPROMLNLMHKFFEA77CA
北投區,土地,八仙段一小段271~300地號,1404.32,農,,,10312,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,104517842,74426,,0.0,0,親友、員工或其他特殊關係間之交易。,RPTOMLNLMHKFFEA97CA
士林區,房地(土地+建物),臺北市士林區德行東路332巷1~30號,35.45,住,,,10402,土地1建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710707,121.89,3,2,2,有,無,16650000,136599,,0.0,0,,RPPPMLKLMHKFFEA37CA
士林區,房地(土地+建物),臺北市士林區德行東路121~150號,7.56,住,,,10403,土地1建物1車位0,二層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0631016,26.2,3,2,1,有,無,900000,34351,,0.0,0,親友、員工或其他特殊關係間之交易。,RPQPMLPKMHKFFEA87CA
士林區,房地(土地+建物),臺北市士林區大西路74巷1~30號,19.67,商,,,10402,土地1建物1車位0,三層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0610307,52.37,4,2,1,有,無,6000000,114569,,0.0,0,親友、員工或其他特殊關係間之交易。,RPTNMLQKMHKFFEA08CA
士林區,房地(土地+建物),臺北市士林區天母東路1~30號,11.03,商,,,10403,土地3建物4車位0,十二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0740515,80.91,2,2,1,有,有,18000000,222469,,0.0,0,,RPSPMLTJMHKFFEA38CA
北投區,房地(土地+建物),臺北市北投區幽雅路5巷1~30號,37.24,其他,,,10403,土地1建物1車位0,五層,5,套房(1房1廳1衛),住家用,鋼筋混凝土造,0850216,118.57,1,1,1,有,有,10000000,84338,,0.0,0,增建露台，夾層。本成交資訊係由不動產經紀業提供屬實。,RPPNMLNJMHKFFEA27CA
士林區,房地(土地+建物),臺北市士林區士東路200巷61~90號,11.6,住,,,10403,土地1建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0660421,53.09,1,2,1,有,無,9250000,174232,,0.0,0,價格含增建,RPROMLSJMHKFFEA08CA
北投區,房地(土地+建物),臺北市北投區中央北路二段391~420號,10.83,住,,,10402,土地1建物1車位0,四層,10,套房(1房1廳1衛),住家用,鋼筋混凝土造,0941027,47.53,1,1,1,有,有,7300000,153587,,0.0,0,價格含增建,RPSOMLSJMHKFFEA18CA
北投區,房地(土地+建物)+車位,臺北市北投區中央北路一段179巷1~30號,46.93,住,,,10403,土地1建物1車位1,五層，電梯樓梯間,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0860120,141.05,3,2,2,有,無,15100000,107054,坡道平面,0.0,0,,RPWOMLRJMHKFFEA48CA
南港區,房地(土地+建物),臺北市南港區三重里重陽路481~510號,82.87,住,,,10402,土地1建物1車位0,九層,23,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1030618,281.78,3,2,2,有,有,69900000,248066,,0.0,0,,RPWPMLTLMHKFFDA88CA
南港區,房地(土地+建物)+車位,臺北市南港區三重里重陽路481~510號,120.79,住,,,10403,土地1建物1車位3,二十一層,23,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1030618,519.76,4,3,3,有,有,121400000,233569,坡道平面,128.38,0,,RPPNMLOJNHKFFDA37CA
信義區,房地(土地+建物),臺北市信義區永吉路150巷1~30號,14.0,住,,,10403,土地1建物1車位0,全,2,透天厝,住家用,磚造,0520601,39.78,4,2,2,有,無,4200000,105581,,0.0,0,親友、員工或其他特殊關係間之交易。,RPOPMLRKMHKFFDA77CA
信義區,房地(土地+建物),臺北市信義區忠孝東路五段71巷11弄1~30號,32.0,住,,,10312,土地1建物1車位0,一層，平台,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,90.99,3,2,2,有,無,9500000,104407,,0.0,0,親友、員工或其他特殊關係間之交易。(母子間買賣交易價格僅略高土地公告現值與房屋評定現值),RPVPMLKKMHKFFDA77CA
南港區,車位,臺北市南港區成福路206巷5弄1~30號,0.0,,,,10403,土地0建物0車位1,地下二層,6,其他,見使用執照,鋼筋混凝土造,0801001,16.38,0,0,0,有,有,1350000,,坡道機械,16.38,1350000,,RPRNMLRJMHKFFDA77CA
南港區,房地(土地+建物),臺北市南港區市民大道七段31~60號,24.66,工,,,10402,土地1建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,69.83,2,1,1,有,無,8800000,126020,,0.0,0,,RPSNMLRJMHKFFDA87CA
南港區,車位,臺北市南港區成福路206巷5弄1~30號,0.0,,,,10403,土地0建物0車位1,地下二層,6,其他,見使用執照,鋼筋混凝土造,0801001,16.38,0,0,0,有,有,1350000,,坡道機械,16.38,1350000,,RPTNMLRJMHKFFDA97CA
南港區,房地(土地+建物),臺北市南港區興中路28巷1~30號,6.67,商,,,10403,土地1建物1車位0,十二層,25,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1011001,78.25,2,1,1,有,有,16690000,213291,,0.0,0,,RPSNMLSJMHKFFDA97CA
信義區,房地(土地+建物),臺北市信義區吳興街600巷100弄1~30號,27.0,住,,,10403,土地1建物1車位0,三層，陽台,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,80.92,2,1,1,有,無,4600000,56846,,0.0,0,親友、員工或其他特殊關係間之交易。,RPVNMLSJMHKFFDA28CA
松山區,房地(土地+建物)+車位,臺北市松山區三民路43巷1~30號,46.92,住,,,10403,土地1建物1車位1,十三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0930507,241.32999999999998,3,2,2,有,有,42000000,174036,坡道平面,0.0,0,權利人另有一共有人；親友、員工或其他特殊關係間之交易。,RPWOMLSJMHKFFDA48CA
松山區,房地(土地+建物),臺北市松山區市民大道四段121~150號,36.5,住,,,10402,土地1建物1車位0,全,2,透天厝,,加強磚造,,50.62,0,0,1,無,無,31000000,612406,,0.0,0,,RPWOMLTJMHKFFDA58CA
松山區,房地(土地+建物)+車位,臺北市松山區基隆路一段1~30號,57.58,商,,,10403,土地1建物2車位1,十七層,18,辦公商業大樓,商業用,鋼筋混凝土造,0840126,789.18,0,0,0,無,有,108000000,136849,坡道平面,0.0,0,,RPRPMLMJMHKFFDA47CA
松山區,房地(土地+建物),臺北市松山區八德路四段106巷1~30號,29.0,商,,,10403,土地2建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,加強磚造,,96.96,3,1,1,有,無,20000000,206271,,0.0,0,,RPQQMLMJMHKFFDA47CA
南港區,房地(土地+建物),臺北市南港區東新街118巷61~90號,20.27,住,,,10403,土地3建物1車位0,九層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010314,98.67,3,2,2,有,有,20000000,202696,,0.0,0,,RPRQMLMJMHKFFDA57CA
松山區,房地(土地+建物),臺北市松山區八德路四段106巷1~30號,38.0,商,,,10403,土地2建物1車位0,三層,4,公寓(5樓含以下無電梯),住家用,加強磚造,,96.96,3,1,1,有,無,20000000,206271,,0.0,0,,RPSQMLMJMHKFFDA67CA
中山區,房地(土地+建物),臺北市中山區林森北路107巷31~60號,5.82,商,,,10403,土地1建物1車位0,六層,7,套房(1房1廳1衛),住家用,鋼筋混凝土造,0780202,45.14,1,1,1,有,有,7000000,155073,,0.0,0,,RPWNMLKLMHKFFCA67CA
中山區,房地(土地+建物),臺北市中山區新生北路三段56巷1~30號,3.47,商,,,10402,土地1建物1車位0,十一層,12,套房(1房1廳1衛),住家用,鋼筋混凝土造,0700410,37.79,0,1,1,有,有,4900000,129664,,0.0,0,,RPQOMLLLMHKFFCA27CA
中山區,土地,中山段一小段511~540地號,6.95,商,,,10403,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2199980,316544,,0.0,0,,RPWOMLSJMHKFFCA38CA
內湖區,車位,臺北市內湖區康寧路三段56巷1~30號,10.46,住,,,10403,土地0建物0車位6,一層,11,其他,商業用,鋼筋混凝土造,0960523,1424.41,0,0,0,有,有,6200000,,坡道平面,132.88,6200000,,RPSOMLPKMHKFFCA77CA
內湖區,房地(土地+建物)+車位,臺北市內湖區成功路四段61~90號,28.55,商,,,10403,土地2建物1車位3,五層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020607,323.88,4,2,2,有,有,65000000,270171,坡道平面,105.5,6000000,,RPTNMLKKMHKFFCA27CA
內湖區,房地(土地+建物)+車位,臺北市內湖區新湖二路241~270號,82.08,其他,,,10403,土地2建物1車位2,三層,6,廠辦,見其他登記事項,鋼筋混凝土造,0970313,340.47,0,0,0,無,有,39000000,114548,坡道平面,57.12,0,,RPXNMLTJMHKFFCA48CA
中山區,房地(土地+建物),臺北市中山區復興北路421~450號,34.1,商,,,10403,土地2建物1車位0,三層,14,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1020206,204.32,3,2,2,有,有,66680000,326351,,0.0,0,,RPRQMLTJMHKFFCA18CA
內湖區,房地(土地+建物)+車位,臺北市內湖區大湖山莊街61巷1~30號,26.69,住,,,10402,土地1建物1車位1,三層,3,套房(1房1廳1衛),住家用,鋼筋混凝土造,0830604,65.46000000000001,1,1,1,有,無,10500000,160403,升降機械,0.0,0,1.價格含增建。2.車位面積無法概算。,RPQRMLTJMHKFFCA18CA
內湖區,房地(土地+建物),臺北市內湖區安康路391~420號,21.38,住,,,10403,土地1建物1車位0,四層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0881116,78.66,2,2,2,有,有,13800000,175439,,0.0,0,價格含增建。,RPRRMLTJMHKFFCA28CA
中山區,房地(土地+建物),臺北市中山區林森北路481~510號,17.0,商,,,10402,土地1建物1車位0,四層，陽台,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0620507,76.25,3,1,1,有,無,13300000,174426,,0.0,0,,RPTNMLNKMHKFFCA57CA
內湖區,房地(土地+建物),臺北市內湖區民權東路六段123巷20弄1~30號,6.06,商,,,10402,土地1建物1車位0,十層,10,套房(1房1廳1衛),商業用,鋼筋混凝土造,0941025,45.62,0,1,1,有,有,10400000,227970,,0.0,0,價格含增建。,RPVRMLRJMHKFFCA48CA
內湖區,房地(土地+建物),臺北市內湖區內湖路一段323巷4弄1~30號,28.95,商,,,10401,土地3建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0670420,94.4,3,2,1,有,無,14100000,149364,,0.0,0,,RPPSMLRJMHKFFCA97CA
內湖區,房地(土地+建物),臺北市內湖區行善路25巷1弄1~30號,48.27,住,,,10403,土地1建物1車位0,三層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0870506,127.78999999999999,3,2,2,有,有,17600000,137726,,0.0,0,,RPWSMLRJMHKFFCA68CA
中山區,房地(土地+建物),臺北市中山區林森北路133巷61~90號,7.51,商,,,10402,土地1建物1車位0,三層,5,套房(1房1廳1衛),住家用,鋼筋混凝土造,0701223,34.95,1,1,1,有,無,4500000,128755,,0.0,0,含增建或未登記建物。,RPXOMLMJMHKFFCA87CA
內湖區,房地(土地+建物),臺北市內湖區內湖路三段60巷12弄31~60號,27.07,住,,,10403,土地1建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0721015,94.86,3,2,2,有,無,12500000,131759,,0.0,0,,RPQNMLRJMHKFFCA57CA
中山區,房地(土地+建物),臺北市中山區長春路1~30號,5.56,商,,,10402,土地1建物1車位0,十層,12,套房(1房1廳1衛),住家用,鋼筋混凝土造,0731128,59.88,1,1,1,有,有,9700000,161991,,0.0,0,,RPSOMLMJMHKFFCA37CA
萬華區,房地(土地+建物),臺北市萬華區環河南路二段250巷33弄1~30號,12.04,住,,,10403,土地2建物1車位0,一層,16,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0761030,114.98,3,2,2,有,有,12180000,105931,,0.0,0,,RPPNMLOKMHKFFBA17CA
萬華區,房地(土地+建物),臺北市萬華區萬大路322巷31~60號,21.0,住,,,10401,土地1建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0721105,69.11,3,1,1,有,無,6100000,88265,,0.0,0,親友、員工或其他特殊關係間之交易。登記2人。,RPVNMLKLMHKFFBA47CA
萬華區,房地(土地+建物),臺北市萬華區隆昌街31~60號,13.93,商,,,10312,土地1建物1車位0,二層,5,公寓(5樓含以下無電梯),見使用執照,鋼筋混凝土造,0710316,56.129999999999995,2,1,1,有,無,8500000,151434,,0.0,0,親友、員工或其他特殊關係間之交易。,RPXNMLSJMHKFFBA28CA
萬華區,土地,莒光段四小段1021~1050地號,38.22,住,,,10403,土地10建物0車位0,,,其他,,,,0.0,0,0,0,有,無,11560000,302459,,0.0,0,,RPTNMLSJMHKFFBA87CA
中正區,房地(土地+建物),臺北市中正區林興里羅斯福路三段128巷31~60號,14.75,住,,,10403,土地1建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,加強磚造,,35.03,2,1,1,有,無,4398300,125558,,0.0,0,親友、員工或其他特殊關係間之交易。,RPWOMLRLMHKFFAA28CA
中正區,房地(土地+建物),臺北市中正區汀州路三段181~210號,31.69,住,,,10402,土地1建物1車位0,一層，騎樓，停車場,7,華廈(10層含以下有電梯),見使用執照,鋼筋混凝土造,0681215,142.28,3,2,1,有,無,102500000,720410,,0.0,0,,RPQPMLLJNHKFFAA07CA
文山區,車位,臺北市文山區木新路三段95巷1~30號,0.42,住,,,10403,土地0建物0車位1,地下二層,13,其他,停車空間,鋼筋混凝土造,0990324,37.28,0,0,0,有,有,2050000,,坡道平面,37.28,2050000,,RPTNMLTLMHKFFAA08CA
文山區,車位,臺北市文山區木新路三段95巷1~30號,0.42,住,,,10403,土地0建物0車位1,地下二層,13,其他,停車空間,鋼筋混凝土造,0990324,43.21,0,0,0,有,有,2180000,,坡道平面,43.21,2180000,,RPUNMLTLMHKFFAA18CA
文山區,房地(土地+建物),臺北市文山區萬隆街31~60號,22.51,住,,,10403,土地1建物1車位0,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,114.38,3,1,1,有,有,8000000,69942,,0.0,0,本買賣案件係屬二親等間特殊交易，其交易價格可能異於市場正常交易價格。,RPWOMLSJMHKFFAA18CA
中正區,房地(土地+建物),臺北市中正區中華路二段311巷1~30號,10.53,住,,,10403,土地1建物1車位0,五層,5,套房(1房1廳1衛),,加強磚造,0560519,25.63,1,1,1,有,無,3950000,154116,,0.0,0,含增建或未登記建物。,RPTQMLMJMHKFFAA47CA
文山區,房地(土地+建物),臺北市文山區保儀路151~180號,26.22,住,,,10401,土地3建物1車位0,一層，通道,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,89.53,3,2,2,有,無,13550000,151346,,0.0,0,含增建或未登記建物。,RPPNMLNJMHKFFAA86CA
文山區,房地(土地+建物),臺北市文山區萬美街二段2巷1~30號,29.84,住,,,10402,土地1建物1車位0,五層,12,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0720916,46.76,1,1,1,有,有,5980000,127887,,0.0,0,含增建或未登記建物。,RPVNMLRJMHKFFAA87CA
文山區,房地(土地+建物)+車位,臺北市文山區保儀路31~60號,16.6,商,,,10401,土地1建物1車位1,二層,24,住宅大樓(11層含以上有電梯),見其他登記事項,鋼骨鋼筋混凝土造,1030613,211.2,4,2,2,有,有,37120000,196957,坡道平面,34.41,2300000,,RPROMLRJMHKFFAA57CA
文山區,房地(土地+建物)+車位,臺北市文山區保儀路61~90號,17.58,商,,,10312,土地1建物1車位2,二十三層,24,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1030613,243.12,4,2,2,有,有,41680000,198918,坡道機械,47.16,2700000,,RPSOMLRJMHKFFAA67CA
文山區,房地(土地+建物),臺北市文山區興隆路三段207巷12弄1~30號,24.12,住,,,10402,土地1建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730830,92.4,3,2,2,有,有,8000000,86580,,0.0,0,含增建或未登記建物。,RPOPMLRJMHKFFAA37CA
文山區,房地(土地+建物)+車位,臺北市文山區忠順街二段90巷1~30號,41.15,住,,,10402,土地1建物1車位1,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0881012,152.3,3,2,2,有,有,19900000,130663,一樓平面,0.0,0,含增建或未登記建物。車位面積無法概算。,RPTOMLTJMHKFFAA97CA
中正區,車位,臺北市中正區汀州路一段61~90號,0.39,住,,,10403,土地0建物0車位1,一層,20,其他,見其他登記事項,鋼筋混凝土造,1010919,35.92,0,0,0,有,有,2600000,,坡道平面,35.93,2600000,,RPSPMLTJMHKFFAA97CA
文山區,房地(土地+建物)+車位,臺北市文山區政大一街271~300號,47.6,住,,,10207,土地1建物1車位1,一層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1031113,141.42,3,2,2,有,無,21400000,184160,坡道平面,33.09,1450000,本案為預售合約價格。,RPUPMLTJMHKFFAA18CA
文山區,房地(土地+建物)+車位,臺北市文山區政大一街271~300號,54.5,住,,,10209,土地1建物1車位1,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1031113,158.54000000000002,3,2,2,有,無,22750000,168593,坡道平面,33.09,1600000,本案為預售合約價格，雨遮1.17平方公尺不計價。,RPVPMLTJMHKFFAA28CA
文山區,房地(土地+建物),臺北市文山區興隆路二段301巷11弄1~30號,43.5,住,,,10403,土地1建物1車位0,一層,2,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,60.23,1,1,1,有,無,7500000,124523,,0.0,0,親友、員工或其他特殊關係間之交易。,RPRNMLTJMHKFFAA67CA
文山區,房地(土地+建物),臺北市文山區福興路82巷5弄1~30號,20.94,住,,,10402,土地1建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0720905,83.09,3,2,1,有,無,7900000,95078,,0.0,0,含增建或未登記建物。,RPPOMLKKMHKFFAA76CA
文山區,房地(土地+建物),臺北市文山區萬壽路61~90號,16.37,住,,,10404,土地1建物1車位0,一層,5,套房(1房1廳1衛),住家用,鋼筋混凝土造,0961023,44.9,1,1,1,有,無,5000000,111359,,0.0,0,,RPWNMLKKMHKFFAA37CA
文山區,房地(土地+建物),臺北市文山區興隆路一段61~90號,26.0,住,,,10402,土地1建物1車位0,二層，陽台,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0600811,72.73,3,1,1,有,無,9700000,133370,,0.0,0,含增建或未登記建物。,RPOOMLKKMHKFFAA66CA
文山區,房地(土地+建物),臺北市文山區木新路二段1~30號,12.23,住,,,10402,土地1建物1車位0,三層,14,套房(1房1廳1衛),住家用,鋼筋混凝土造,0841024,51.33,1,1,1,有,無,8500000,165595,,0.0,0,,RPTNMLKKMHKFFAA07CA
中正區,房地(土地+建物)+車位,臺北市中正區水源路31~60號,28.09,住,,,10403,土地1建物1車位1,九層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0911202,152.23000000000002,3,2,2,有,有,26680000,175261,坡道平面,4.76,0,,RPPPMLRJMHKFFAA47CA
文山區,房地(土地+建物)+車位,臺北市文山區景華街176巷1~30號,20.32,住,,,10402,土地1建物1車位1,十層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1021230,116.05,3,2,1,有,有,27800000,239552,坡道機械,21.91,0,含增建或未登記建物。,RPQQMLSJMHKFFAA77CA
中正區,房地(土地+建物),臺北市中正區泉州街145巷1~30號,30.79,住,,,10403,土地1建物1車位0,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0750423,126.18,3,2,2,有,有,24100000,190997,,0.0,0,,RPWQMLSJMHKFFAA38CA
文山區,房地(土地+建物),臺北市文山區興隆路四段165巷1~30號,17.61,住,,,10403,土地1建物1車位0,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0890211,80.83,2,2,1,有,有,12500000,154646,,0.0,0,,RPQNMLRKMHKFFAA47CA
萬華區,房地(土地+建物),臺北市萬華區環河南路二段198巷1弄1~30號,39.33,住,,,10403,土地1建物1車位0,二層,3,公寓(5樓含以下無電梯),住家用,加強磚造,0580625,74.78,2,1,2,有,無,9350000,125033,,0.0,0,,RPOOMLKKMHKFFBA76CA
大同區,房地(土地+建物),臺北市大同區延平北路四段151~180號,22.0,住,,,10403,土地1建物1車位0,一層，騎樓,4,公寓(5樓含以下無電梯),住家用,加強磚造,,78.59,0,0,0,無,無,20000000,254485,,0.0,0,,RPPPMLNKMHKFFBA27CA
萬華區,車位,臺北市萬華區德昌街121~150號,3.66,住,,,10401,土地0建物0車位1,地下二層,23,其他,停車空間,鋼筋混凝土造,1000131,33.71,0,0,0,有,有,2400000,,坡道平面,33.71,2400000,,RPWNMLPKMHKFFBA97CA
內湖區,房地(土地+建物),臺北市內湖區陽光街181~210號,35.42,住,,,10401,土地2建物1車位0,一層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0730207,100.50999999999999,3,2,1,有,有,18000000,179087,,0.0,0,價格含增建。,RPURMLRJMHKFFCA38CA
內湖區,土地,碧山段一小段241~270地號,1087.26,其他,,,10403,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1060000,975,,0.0,0,,RPTOMLSJMHKFFCA08CA
內湖區,車位,臺北市內湖區康樂街181~210號,2.94,住,,,10403,土地0建物0車位1,地下二層,11,其他,停車空間,鋼筋混凝土造,0970331,14.96,0,0,0,有,有,690000,,坡道機械,0.0,690000,,RPVPMLSJMHKFFCA38CA
中山區,房地(土地+建物)+車位,臺北市中山區復興北路421~450號,15.02,住,,,10403,土地2建物1車位1,,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0971015,116.42,2,1,1,有,有,24000000,206150,坡道平面,33.67,0,,RPXOMLKKMHKFFCA77CA
中山區,房地(土地+建物)+車位,臺北市中山區長春路241~270號,5.22,商,,,10403,土地0建物1車位0,九層,12,套房(1房1廳1衛),住家用,鋼筋混凝土造,0970104,65.64,1,1,1,有,有,13950000,212523,升降機械,14.36,0,,RPROMLKKMHKFFCA17CA
中山區,車位,臺北市中山區新生北路三段1~30號,0.13,住,,,10403,土地0建物0車位1,三層,12,其他,商業用,鋼筋混凝土造,0950209,17.2,0,0,0,有,有,1200000,,坡道機械,17.15,0,,RPQNMLKLMHKFFCA07CA
內湖區,房地(土地+建物),臺北市內湖區大湖山莊街61巷1~30號,108.19,住,,,10402,土地3建物2車位0,,3,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850726,278.76,2,2,2,有,無,38800000,139188,,0.0,0,,RPWPMLRKMHKFFCA48CA
中山區,房地(土地+建物)+車位,臺北市中山區新生北路二段1~30號,38.39,住,,,10105,土地3建物1車位3,八層,20,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1031029,514.25,0,0,0,無,無,132000000,299489,坡道平面,106.89,10000000,1.本案為預售價格。2.毛胚屋。3.雨遮6.13平方公尺，不計價。,RPUOMLOJNHKFFCA87CA
內湖區,房地(土地+建物)+車位,臺北市內湖區新富街31~60號,48.47,住,,,10309,土地1建物1車位1,,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031212,267.89,3,2,2,有,有,69550000,296357,坡道平面,43.33,3000000,,RPPOMLSLMHKFFCA87CA
內湖區,房地(土地+建物)+車位,臺北市內湖區新富街31~60號,48.59,住,,,10209,土地1建物1車位2,,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031212,310.95000000000005,3,2,2,有,有,65390000,269918,坡道平面,86.66,4850000,,RPTOMLSLMHKFFCA28CA
