鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
中山區,房地(土地+建物)+車位,臺北市中山區長安東路二段151~180號,42.26,商,,,10403,土地1建物2車位2,三層,11,辦公商業大樓,商業用,鋼筋混凝土造,0790312,443.77,0,0,0,無,有,66060000,148861,坡道平面,55.2,0,,RPQOMLKKMHKFFCA07CA
中山區,房地(土地+建物),臺北市中山區長春路31~60號,3.13,商,,,10403,土地1建物1車位0,七層,12,辦公商業大樓,商業用,鋼筋混凝土造,0730326,40.94,0,0,0,無,有,6320000,154372,,0.0,0,,RPWOMLOKMHKFFCA08CA
中山區,房地(土地+建物),臺北市中山區錦州街31~60號,3.38,商,,,10403,土地2建物1車位0,八層,13,套房(1房1廳1衛),住家用,鋼筋混凝土造,0730927,37.86,1,1,1,有,有,6100000,161120,,0.0,0,,RPWQMLRKMHKFFCA58CA
中山區,房地(土地+建物)+車位,臺北市中山區南京東路一段121~150號,56.55,商,,,10403,土地1建物2車位2,三層,9,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0870414,466.98,6,2,4,有,無,95900000,205362,升降機械,0.0,0,開放空間有廁所,RPXQMLRKMHKFFCA68CA
內湖區,房地(土地+建物),臺北市內湖區康寧路一段214巷1~30號,34.58,住,,,10403,土地4建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0691222,127.61,3,2,2,有,無,19500000,152809,,0.0,0,,RPVNMLSKMHKFFCA28CA
內湖區,房地(土地+建物),臺北市內湖區民權東路六段121~150號,3.87,商,,,10402,土地1建物1車位0,十二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980106,47.31,1,1,1,有,無,8020000,169520,,0.0,0,,RPWNMLSKMHKFFCA38CA
中山區,房地(土地+建物),臺北市中山區合江街188巷1~30號,20.75,住,,,10401,土地1建物1車位0,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0661231,118.92,3,2,2,有,無,23850000,200555,,0.0,0,,RPRNMLOLMHKFFCA57CA
內湖區,房地(土地+建物),臺北市內湖區金湖路14巷1~30號,34.25,住,,,10402,土地1建物1車位0,一層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0670725,90.89,0,0,0,無,無,16800000,184839,,0.0,0,,RPVUMLSLMHKFFCA09CA
信義區,房地(土地+建物),臺北市信義區吳興街600巷98弄1~30號,28.95,住,,,10403,土地1建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,98.54,4,1,1,有,無,12000000,121778,,0.0,0,含增建或未登記建物。,RPQPMLLJMHKFFDA27CA
松山區,房地(土地+建物),臺北市松山區南京東路五段66巷3弄1~30號,18.1,住,,,10402,土地1建物1車位0,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0780810,114.44999999999999,3,2,2,有,有,28320000,247444,,0.0,0,共有人數2人含增建或未登記建物。,RPRPMLLJMHKFFDA37CA
松山區,房地(土地+建物),臺北市松山區民權東路三段103巷5弄1~30號,26.51,住,,,10401,土地1建物1車位0,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0740326,105.78999999999999,3,2,1,有,有,18880000,178467,,0.0,0,含增建或未登記建物。,RPSPMLLJMHKFFDA47CA
松山區,房地(土地+建物),臺北市松山區八德路二段331~360號,2.89,商,,,10402,土地2建物1車位0,七層,14,套房(1房1廳1衛),住家用,鋼筋混凝土造,0980123,32.83,1,1,1,有,有,10300000,313737,,0.0,0,含增建或未登記建物。,RPTPMLLJMHKFFDA57CA
南港區,房地(土地+建物)+車位,臺北市南港區興中路28巷1~30號,10.73,商,,,10312,土地1建物1車位1,二十二層,25,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1011001,169.51,3,2,2,有,有,31200000,184060,坡道平面,36.33,0,含增建或未登記建物。,RPXQMLMJMHKFFDA18CA
松山區,房地(土地+建物),臺北市松山區民生東路五段91~120號,11.62,住,,,10403,土地1建物1車位0,二層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,19.92,3,2,2,有,無,4200000,210843,,0.0,0,二等親買賣共有人間買賣,RPPOMLQJMHKFFDA57CA
松山區,土地,寶清段一小段511~540地號,45.5,住,,,10403,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,12550000,275824,,0.0,0,交易價格含地上未辦保存登記建物的2樓及頂樓增建,RPPNMLPKMHKFFDA47CA
南港區,房地(土地+建物)+車位,臺北市南港區重陽路61~90號,11.95,商,,,10403,土地1建物1車位1,四層,7,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1000901,58.84,1,1,1,有,有,11500000,195445,塔式車位,11.51,0,,RPUNMLQKMHKFFDA08CA
南港區,土地,南港段三小段31~60地號,8.98,工,,,10403,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1400000,155902,,0.0,0,,RPROMLQKMHKFFDA87CA
信義區,房地(土地+建物)+車位,臺北市信義區基隆路二段121~150號,8.1,商,,,10104,土地1建物1車位1,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031029,115.45,1,1,1,有,有,32880000,302117,升降機械,13.9,2200000,,RPUQMLQKMHKFFDA38CA
信義區,房地(土地+建物)+車位,臺北市信義區基隆路二段121~150號,7.35,商,,,10107,土地1建物1車位1,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031029,108.12,1,1,1,有,有,29400000,288686,升降機械,13.9,2200000,,RPWQMLQKMHKFFDA58CA
信義區,房地(土地+建物)+車位,臺北市信義區市民大道六段301~330號,50.3,商,,,10403,土地2建物1車位2,五層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031227,352.82,4,2,3,有,有,74100000,247814,坡道平面,76.0,5500000,,RPXOMLRKMHKFFDA58CA
松山區,房地(土地+建物)+車位,臺北市松山區慶城街1~30號,41.0,住,,,10403,土地1建物1車位1,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0770209,243.49,3,2,2,有,有,50300000,229591,升降平面,36.61,2800000,,RPVNMLKLMHKFFDA67CA
北投區,土地,行義段四小段151~180地號,495.87,其他,,,10303,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3300000,6655,,0.0,0,,RPQNMLRJMHKFFEA77CA
士林區,土地,溪洲段一小段391~420地號,14.33,其他,,,10403,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,812625,56708,,0.0,0,(包含)公共設施保留地之交易。,RPSNMLRJMHKFFEA97CA
北投區,房地(土地+建物)+車位,臺北市北投區幽雅路1~30號,8.1,其他,,,10403,土地1建物1車位1,十層,13,套房(1房1廳1衛),住家用,鋼筋混凝土造,0980205,72.03,1,1,1,有,有,6900000,95793,坡道機械,0.0,0,,RPPOMLRJMHKFFEA77CA
